student_id,school_id,sex,p1,p2,p3,p41,p42,p5,p6,p7,p81,p82,p9,p10a,p10b,p10c,p10d,p10e,p10f,p10g,p10h,p11a,p11b,p11c,p11d,p12a,p12b,p12c,p12d,p12e,p12f,p12g,p12h,p13a,p13b,p13c,p13d,p13e,p13f,p13g,p13h
EST0147,Colegio_6,Male,15,YES,1,DID NOT REPEAT,DID NOT REPEAT,DON'T KNOW,DON'T KNOW,456,SOMETIMES,FREQUENTLY,MOBILE PHONE,PARTIALLY AGREE,AGREE,AGREE,PARTIALLY AGREE,AGREE,AGREE,AGREE,AGREE,PARTIALLY AGREE,PARTIALLY AGREE,AGREE,AGREE,MOST QUESTIONS,VERY FEW QUESTIONS,NO QUESTIONS,MOST QUESTIONS,MOST QUESTIONS,NO QUESTIONS,MOST QUESTIONS,VERY FEW QUESTIONS,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE,PARTIALLY AGREE
EST0160,Colegio_6,Male,14,YES,4,DID NOT REPEAT,DID NOT REPEAT,INCOMPLETE SECONDARY,INCOMPLETE SECONDARY,145,FREQUENTLY,FREQUENTLY,MOBILE PHONE,PARTIALLY AGREE,PARTIALLY AGREE,PARTIALLY AGREE,AGREE,AGREE,AGREE,AGREE,DISAGREE,DISAGREE,DISAGREE,AGREE,AGREE,MOST QUESTIONS,ALL QUESTIONS,VERY FEW QUESTIONS,VERY FEW QUESTIONS,VERY FEW QUESTIONS,VERY FEW QUESTIONS,MOST QUESTIONS,VERY FEW QUESTIONS,AGREE,AGREE,PARTIALLY AGREE,AGREE,AGREE,AGREE,AGREE,AGREE
EST0150,Colegio_6,Female,17,YES,1,SECOND AND FOURTH,DID NOT REPEAT,INCOMPLETE SECONDARY,DON'T KNOW,2457,FREQUENTLY,SOMETIMES,MOBILE PHONE,AGREE,PARTIALLY AGREE,PARTIALLY AGREE,PARTIALLY AGREE,PARTIALLY AGREE,DISAGREE,PARTIALLY AGREE,AGREE,AGREE,PARTIALLY AGREE,AGREE,AGREE,VERY FEW QUESTIONS,VERY FEW QUESTIONS,NO QUESTIONS,MOST QUESTIONS,ALL QUESTIONS,VERY FEW QUESTIONS,NO QUESTIONS,NO QUESTIONS,DISAGREE,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE
EST0154,Colegio_6,Female,17,NO,1,SECOND,DID NOT REPEAT,COMPLETE SECONDARY,COMPLETE PRIMARY,4,SOMETIMES,NEVER,MOBILE PHONE,DISAGREE,AGREE,AGREE,PARTIALLY AGREE,AGREE,AGREE,AGREE,DISAGREE,DISAGREE,DISAGREE,AGREE,AGREE,VERY FEW QUESTIONS,NO QUESTIONS,NO QUESTIONS,VERY FEW QUESTIONS,VERY FEW QUESTIONS,VERY FEW QUESTIONS,MOST QUESTIONS,VERY FEW QUESTIONS,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE,PARTIALLY AGREE,AGREE
EST0152,Colegio_6,Female,15,YES,1,DID NOT REPEAT,DID NOT REPEAT,COMPLETE SECONDARY,COMPLETE SECONDARY,1234567,SOMETIMES,SOMETIMES,MOBILE PHONE,AGREE,AGREE,PARTIALLY AGREE,PARTIALLY AGREE,AGREE,AGREE,AGREE,AGREE,PARTIALLY AGREE,PARTIALLY AGREE,AGREE,AGREE,VERY FEW QUESTIONS,NO QUESTIONS,VERY FEW QUESTIONS,ALL QUESTIONS,VERY FEW QUESTIONS,MOST QUESTIONS,VERY FEW QUESTIONS,VERY FEW QUESTIONS,AGREE,AGREE,PARTIALLY AGREE,AGREE,AGREE,AGREE,PARTIALLY AGREE,PARTIALLY AGREE
EST0151,Colegio_6,Female,16,YES,1,DID NOT REPEAT,DID NOT REPEAT,INCOMPLETE SECONDARY,INCOMPLETE SECONDARY,4,FREQUENTLY,-888,MOBILE PHONE,DISAGREE,AGREE,PARTIALLY AGREE,PARTIALLY AGREE,AGREE,AGREE,AGREE,AGREE,DISAGREE,PARTIALLY AGREE,AGREE,AGREE,VERY FEW QUESTIONS,NO QUESTIONS,NO QUESTIONS,VERY FEW QUESTIONS,VERY FEW QUESTIONS,NO QUESTIONS,MOST QUESTIONS,VERY FEW QUESTIONS,AGREE,AGREE,PARTIALLY AGREE,PARTIALLY AGREE,AGREE,AGREE,DISAGREE,DISAGREE
EST0153,Colegio_6,Male,14,YES,1,DID NOT REPEAT,DID NOT REPEAT,COMPLETE SECONDARY,COMPLETE SECONDARY,145,SOMETIMES,NEVER,MOBILE PHONE,AGREE,PARTIALLY AGREE,PARTIALLY AGREE,AGREE,AGREE,PARTIALLY AGREE,DISAGREE,AGREE,DISAGREE,DISAGREE,AGREE,AGREE,MOST QUESTIONS,MOST QUESTIONS,NO QUESTIONS,MOST QUESTIONS,NO QUESTIONS,MOST QUESTIONS,VERY FEW QUESTIONS,ALL QUESTIONS,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE,DISAGREE,DISAGREE
EST0149,Colegio_6,Female,15,YES,1,DID NOT REPEAT,DID NOT REPEAT,COMPLETE SECONDARY,UNIVERSITY EDUCATION,456,FREQUENTLY,FREQUENTLY,MOBILE PHONE,AGREE,PARTIALLY AGREE,DISAGREE,PARTIALLY AGREE,AGREE,AGREE,AGREE,PARTIALLY AGREE,DISAGREE,AGREE,AGREE,AGREE,MOST QUESTIONS,ALL QUESTIONS,NO QUESTIONS,VERY FEW QUESTIONS,VERY FEW QUESTIONS,MOST QUESTIONS,MOST QUESTIONS,MOST QUESTIONS,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE,DISAGREE,DISAGREE
EST0143,Colegio_6,Female,15,YES,1,DID NOT REPEAT,DID NOT REPEAT,INCOMPLETE SECONDARY,INCOMPLETE PRIMARY,456,FREQUENTLY,FREQUENTLY,MOBILE PHONE,PARTIALLY AGREE,PARTIALLY AGREE,PARTIALLY AGREE,PARTIALLY AGREE,AGREE,AGREE,AGREE,AGREE,PARTIALLY AGREE,DISAGREE,AGREE,AGREE,MOST QUESTIONS,MOST QUESTIONS,VERY FEW QUESTIONS,VERY FEW QUESTIONS,VERY FEW QUESTIONS,VERY FEW QUESTIONS,MOST QUESTIONS,VERY FEW QUESTIONS,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE,DISAGREE
EST0146,Colegio_6,Female,15,YES,1,DID NOT REPEAT,DID NOT REPEAT,COMPLETE SECONDARY,DON'T KNOW,456,SOMETIMES,FREQUENTLY,MOBILE PHONE,AGREE,PARTIALLY AGREE,AGREE,DISAGREE,AGREE,AGREE,PARTIALLY AGREE,AGREE,DISAGREE,DISAGREE,AGREE,PARTIALLY AGREE,VERY FEW QUESTIONS,VERY FEW QUESTIONS,VERY FEW QUESTIONS,MOST QUESTIONS,MOST QUESTIONS,MOST QUESTIONS,MOST QUESTIONS,VERY FEW QUESTIONS,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE
