student_id,school_id,sex,p1,p2,p3,p41,p42,p5,p6,p7,p81,p82,p9,p10a,p10b,p10c,p10d,p10e,p10f,p10g,p10h,p11a,p11b,p11c,p11d,p12a,p12b,p12c,p12d,p12e,p12f,p12g,p12h,p13a,p13b,p13c,p13d,p13e,p13f,p13g,p13h
EST0172,Colegio_6,Male,13,YES,1,DID NOT REPEAT,DID NOT REPEAT,TECHNICAL HIGHER EDUCATION,COMPLETE SECONDARY,45,FREQUENTLY,FREQUENTLY,MOBILE PHONE,PARTIALLY AGREE,AGREE,PARTIALLY AGREE,AGREE,AGREE,PARTIALLY AGREE,PARTIALLY AGREE,PARTIALLY AGREE,PARTIALLY AGREE,PARTIALLY AGREE,PARTIALLY AGREE,AGREE,MOST QUESTIONS,MOST QUESTIONS,VERY FEW QUESTIONS,VERY FEW QUESTIONS,NO QUESTIONS,VERY FEW QUESTIONS,MOST QUESTIONS,MOST QUESTIONS,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE
EST0203,Colegio_6,Female,14,YES,1,DID NOT REPEAT,DID NOT REPEAT,COMPLETE SECONDARY,INCOMPLETE PRIMARY,1234567,FREQUENTLY,SOMETIMES,COMPUTER/LAPTOP,PARTIALLY AGREE,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE,VERY FEW QUESTIONS,NO QUESTIONS,MOST QUESTIONS,VERY FEW QUESTIONS,NO QUESTIONS,NO QUESTIONS,NO QUESTIONS,NO QUESTIONS,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE
EST0196,Colegio_6,Female,15,NO,1,DID NOT REPEAT,DID NOT REPEAT,DON'T KNOW,DON'T KNOW,45,FREQUENTLY,FREQUENTLY,MOBILE PHONE,AGREE,AGREE,AGREE,PARTIALLY AGREE,AGREE,PARTIALLY AGREE,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE,NO QUESTIONS,NO QUESTIONS,NO QUESTIONS,NO QUESTIONS,NO QUESTIONS,NO QUESTIONS,NO QUESTIONS,VERY FEW QUESTIONS,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE
EST0200,Colegio_6,Male,13,YES,1,DID NOT REPEAT,DID NOT REPEAT,UNIVERSITY EDUCATION,DON'T KNOW,5,-888,FREQUENTLY,MOBILE PHONE,PARTIALLY AGREE,PARTIALLY AGREE,PARTIALLY AGREE,AGREE,AGREE,AGREE,PARTIALLY AGREE,PARTIALLY AGREE,PARTIALLY AGREE,AGREE,AGREE,AGREE,VERY FEW QUESTIONS,MOST QUESTIONS,VERY FEW QUESTIONS,ALL QUESTIONS,VERY FEW QUESTIONS,VERY FEW QUESTIONS,MOST QUESTIONS,VERY FEW QUESTIONS,PARTIALLY AGREE,PARTIALLY AGREE,AGREE,AGREE,AGREE,AGREE,AGREE,PARTIALLY AGREE
EST0197,Colegio_6,Male,14,YES,1,DID NOT REPEAT,DID NOT REPEAT,COMPLETE SECONDARY,COMPLETE SECONDARY,456,FREQUENTLY,FREQUENTLY,MOBILE PHONE,PARTIALLY AGREE,PARTIALLY AGREE,AGREE,AGREE,AGREE,DISAGREE,PARTIALLY AGREE,AGREE,PARTIALLY AGREE,AGREE,AGREE,AGREE,VERY FEW QUESTIONS,MOST QUESTIONS,VERY FEW QUESTIONS,MOST QUESTIONS,VERY FEW QUESTIONS,VERY FEW QUESTIONS,MOST QUESTIONS,MOST QUESTIONS,AGREE,AGREE,PARTIALLY AGREE,AGREE,PARTIALLY AGREE,DISAGREE,PARTIALLY AGREE,AGREE
EST0195,Colegio_6,Male,14,NO,1,DID NOT REPEAT,DID NOT REPEAT,INCOMPLETE SECONDARY,DON'T KNOW,2456,SOMETIMES,FREQUENTLY,MOBILE PHONE,PARTIALLY AGREE,PARTIALLY AGREE,DISAGREE,PARTIALLY AGREE,PARTIALLY AGREE,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE,MOST QUESTIONS,VERY FEW QUESTIONS,VERY FEW QUESTIONS,VERY FEW QUESTIONS,VERY FEW QUESTIONS,MOST QUESTIONS,MOST QUESTIONS,VERY FEW QUESTIONS,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE,PARTIALLY AGREE,PARTIALLY AGREE
EST0165,Colegio_6,Male,13,DON'T KNOW,1,DID NOT REPEAT,FIRST,COMPLETE SECONDARY,COMPLETE SECONDARY,145,FREQUENTLY,FREQUENTLY,COMPUTER/LAPTOP,PARTIALLY AGREE,AGREE,PARTIALLY AGREE,DISAGREE,AGREE,PARTIALLY AGREE,AGREE,AGREE,PARTIALLY AGREE,AGREE,AGREE,AGREE,MOST QUESTIONS,MOST QUESTIONS,ALL QUESTIONS,MOST QUESTIONS,ALL QUESTIONS,MOST QUESTIONS,MOST QUESTIONS,VERY FEW QUESTIONS,AGREE,PARTIALLY AGREE,AGREE,DISAGREE,AGREE,PARTIALLY AGREE,AGREE,PARTIALLY AGREE
EST0186,Colegio_6,Male,14,YES,1,FIFTH,DID NOT REPEAT,UNIVERSITY EDUCATION,UNIVERSITY EDUCATION,145,SOMETIMES,FREQUENTLY,MOBILE PHONE,AGREE,PARTIALLY AGREE,AGREE,PARTIALLY AGREE,AGREE,PARTIALLY AGREE,PARTIALLY AGREE,AGREE,PARTIALLY AGREE,DISAGREE,AGREE,AGREE,MOST QUESTIONS,VERY FEW QUESTIONS,VERY FEW QUESTIONS,VERY FEW QUESTIONS,NO QUESTIONS,VERY FEW QUESTIONS,VERY FEW QUESTIONS,NO QUESTIONS,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE,DISAGREE,PARTIALLY AGREE
EST0176,Colegio_6,Male,13,NO,3,DID NOT REPEAT,DID NOT REPEAT,COMPLETE SECONDARY,COMPLETE SECONDARY,2345,FREQUENTLY,SOMETIMES,TABLET,PARTIALLY AGREE,PARTIALLY AGREE,PARTIALLY AGREE,AGREE,AGREE,AGREE,AGREE,AGREE,PARTIALLY AGREE,AGREE,AGREE,AGREE,VERY FEW QUESTIONS,VERY FEW QUESTIONS,MOST QUESTIONS,ALL QUESTIONS,ALL QUESTIONS,VERY FEW QUESTIONS,VERY FEW QUESTIONS,MOST QUESTIONS,AGREE,AGREE,PARTIALLY AGREE,AGREE,AGREE,AGREE,AGREE,DISAGREE
EST0169,Colegio_6,Male,13,YES,1,DID NOT REPEAT,DID NOT REPEAT,DON'T KNOW,DON'T KNOW,2356,-888,FREQUENTLY,COMPUTER/LAPTOP,PARTIALLY AGREE,PARTIALLY AGREE,AGREE,PARTIALLY AGREE,AGREE,PARTIALLY AGREE,AGREE,PARTIALLY AGREE,PARTIALLY AGREE,PARTIALLY AGREE,AGREE,AGREE,VERY FEW QUESTIONS,VERY FEW QUESTIONS,VERY FEW QUESTIONS,VERY FEW QUESTIONS,NO QUESTIONS,NO QUESTIONS,VERY FEW QUESTIONS,NO QUESTIONS,AGREE,PARTIALLY AGREE,PARTIALLY AGREE,PARTIALLY AGREE,PARTIALLY AGREE,PARTIALLY AGREE,DISAGREE,PARTIALLY AGREE
EST0182,Colegio_6,Female,14,YES,1,SECOND,DID NOT REPEAT,COMPLETE SECONDARY,NO FORMAL EDUCATION,45,FREQUENTLY,FREQUENTLY,MOBILE PHONE,DISAGREE,AGREE,AGREE,AGREE,AGREE,AGREE,DISAGREE,PARTIALLY AGREE,PARTIALLY AGREE,AGREE,AGREE,AGREE,MOST QUESTIONS,VERY FEW QUESTIONS,MOST QUESTIONS,ALL QUESTIONS,VERY FEW QUESTIONS,MOST QUESTIONS,ALL QUESTIONS,VERY FEW QUESTIONS,AGREE,PARTIALLY AGREE,DISAGREE,PARTIALLY AGREE,AGREE,AGREE,AGREE,DISAGREE
EST0211,Colegio_6,Female,15,YES,1,DID NOT REPEAT,DID NOT REPEAT,TECHNICAL HIGHER EDUCATION,DON'T KNOW,145,FREQUENTLY,FREQUENTLY,MOBILE PHONE,PARTIALLY AGREE,AGREE,PARTIALLY AGREE,PARTIALLY AGREE,AGREE,AGREE,PARTIALLY AGREE,PARTIALLY AGREE,PARTIALLY AGREE,AGREE,AGREE,AGREE,MOST QUESTIONS,VERY FEW QUESTIONS,VERY FEW QUESTIONS,VERY FEW QUESTIONS,VERY FEW QUESTIONS,VERY FEW QUESTIONS,MOST QUESTIONS,MOST QUESTIONS,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE,PARTIALLY AGREE
EST0204,Colegio_6,Female,14,YES,1,DID NOT REPEAT,DID NOT REPEAT,DON'T KNOW,COMPLETE SECONDARY,14567,FREQUENTLY,FREQUENTLY,MOBILE PHONE,PARTIALLY AGREE,PARTIALLY AGREE,AGREE,PARTIALLY AGREE,PARTIALLY AGREE,PARTIALLY AGREE,AGREE,PARTIALLY AGREE,PARTIALLY AGREE,AGREE,AGREE,,NO QUESTIONS,NO QUESTIONS,MOST QUESTIONS,MOST QUESTIONS,VERY FEW QUESTIONS,NO QUESTIONS,MOST QUESTIONS,VERY FEW QUESTIONS,AGREE,AGREE,AGREE,AGREE,PARTIALLY AGREE,DISAGREE,DISAGREE,PARTIALLY AGREE
EST0208,Colegio_6,Female,16,NO,12,FIFTH,DID NOT REPEAT,COMPLETE SECONDARY,COMPLETE SECONDARY,5,-888,FREQUENTLY,MOBILE PHONE,PARTIALLY AGREE,PARTIALLY AGREE,AGREE,DISAGREE,AGREE,AGREE,PARTIALLY AGREE,AGREE,DISAGREE,DISAGREE,AGREE,AGREE,VERY FEW QUESTIONS,ALL QUESTIONS,MOST QUESTIONS,ALL QUESTIONS,MOST QUESTIONS,VERY FEW QUESTIONS,MOST QUESTIONS,VERY FEW QUESTIONS,DISAGREE,PARTIALLY AGREE,PARTIALLY AGREE,AGREE,AGREE,AGREE,DISAGREE,DISAGREE
EST0205,Colegio_6,Male,14,DON'T KNOW,1,DID NOT REPEAT,DID NOT REPEAT,DON'T KNOW,DON'T KNOW,2456,FREQUENTLY,SOMETIMES,MOBILE PHONE,PARTIALLY AGREE,PARTIALLY AGREE,PARTIALLY AGREE,PARTIALLY AGREE,AGREE,AGREE,PARTIALLY AGREE,PARTIALLY AGREE,PARTIALLY AGREE,PARTIALLY AGREE,AGREE,AGREE,MOST QUESTIONS,VERY FEW QUESTIONS,VERY FEW QUESTIONS,VERY FEW QUESTIONS,VERY FEW QUESTIONS,VERY FEW QUESTIONS,MOST QUESTIONS,VERY FEW QUESTIONS,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE,DISAGREE,AGREE
EST0206,Colegio_6,Female,14,YES,1,DID NOT REPEAT,DID NOT REPEAT,COMPLETE SECONDARY,COMPLETE SECONDARY,1467,FREQUENTLY,-888,MOBILE PHONE,PARTIALLY AGREE,PARTIALLY AGREE,PARTIALLY AGREE,AGREE,AGREE,AGREE,PARTIALLY AGREE,AGREE,PARTIALLY AGREE,AGREE,AGREE,AGREE,MOST QUESTIONS,MOST QUESTIONS,NO QUESTIONS,VERY FEW QUESTIONS,VERY FEW QUESTIONS,VERY FEW QUESTIONS,MOST QUESTIONS,NO QUESTIONS,AGREE,AGREE,PARTIALLY AGREE,AGREE,AGREE,AGREE,DISAGREE,DISAGREE
EST0210,Colegio_6,Female,16,YES,1,SECOND,DID NOT REPEAT,INCOMPLETE PRIMARY,INCOMPLETE SECONDARY,145,SOMETIMES,SOMETIMES,MOBILE PHONE,PARTIALLY AGREE,PARTIALLY AGREE,PARTIALLY AGREE,DISAGREE,AGREE,PARTIALLY AGREE,PARTIALLY AGREE,PARTIALLY AGREE,PARTIALLY AGREE,AGREE,AGREE,PARTIALLY AGREE,MOST QUESTIONS,VERY FEW QUESTIONS,VERY FEW QUESTIONS,VERY FEW QUESTIONS,VERY FEW QUESTIONS,VERY FEW QUESTIONS,MOST QUESTIONS,VERY FEW QUESTIONS,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE,PARTIALLY AGREE,DISAGREE
EST0207,Colegio_6,Male,15,YES,1,DID NOT REPEAT,DID NOT REPEAT,INCOMPLETE SECONDARY,COMPLETE SECONDARY,46,SOMETIMES,-888,MOBILE PHONE,PARTIALLY AGREE,AGREE,PARTIALLY AGREE,DISAGREE,AGREE,AGREE,AGREE,AGREE,PARTIALLY AGREE,AGREE,AGREE,AGREE,VERY FEW QUESTIONS,MOST QUESTIONS,VERY FEW QUESTIONS,VERY FEW QUESTIONS,VERY FEW QUESTIONS,MOST QUESTIONS,VERY FEW QUESTIONS,MOST QUESTIONS,AGREE,AGREE,AGREE,PARTIALLY AGREE,AGREE,AGREE,PARTIALLY AGREE,AGREE
EST0209,Colegio_6,Male,16,YES,1,DID NOT REPEAT,DID NOT REPEAT,UNIVERSITY EDUCATION,COMPLETE SECONDARY,2456,FREQUENTLY,FREQUENTLY,MOBILE PHONE,PARTIALLY AGREE,PARTIALLY AGREE,PARTIALLY AGREE,PARTIALLY AGREE,AGREE,AGREE,AGREE,DISAGREE,DISAGREE,DISAGREE,AGREE,AGREE,MOST QUESTIONS,VERY FEW QUESTIONS,MOST QUESTIONS,VERY FEW QUESTIONS,VERY FEW QUESTIONS,VERY FEW QUESTIONS,MOST QUESTIONS,MOST QUESTIONS,AGREE,AGREE,AGREE,PARTIALLY AGREE,AGREE,PARTIALLY AGREE,AGREE,PARTIALLY AGREE
EST0144,Colegio_6,Female,14,YES,1,DID NOT REPEAT,DID NOT REPEAT,COMPLETE SECONDARY,COMPLETE SECONDARY,6,-888,-888,MOBILE PHONE,PARTIALLY AGREE,AGREE,AGREE,PARTIALLY AGREE,AGREE,AGREE,AGREE,DISAGREE,AGREE,AGREE,AGREE,AGREE,MOST QUESTIONS,NO QUESTIONS,VERY FEW QUESTIONS,VERY FEW QUESTIONS,VERY FEW QUESTIONS,NO QUESTIONS,MOST QUESTIONS,MOST QUESTIONS,AGREE,AGREE,AGREE,AGREE,AGREE,PARTIALLY AGREE,DISAGREE,PARTIALLY AGREE
EST0043,Colegio_2,Male,12,YES,1,DID NOT REPEAT,DID NOT REPEAT,UNIVERSITY EDUCATION,UNIVERSITY EDUCATION,1456,SOMETIMES,SOMETIMES,MOBILE PHONE,PARTIALLY AGREE,AGREE,AGREE,PARTIALLY AGREE,AGREE,AGREE,AGREE,DISAGREE,AGREE,PARTIALLY AGREE,AGREE,AGREE,ALL QUESTIONS,ALL QUESTIONS,VERY FEW QUESTIONS,VERY FEW QUESTIONS,NO QUESTIONS,VERY FEW QUESTIONS,MOST QUESTIONS,VERY FEW QUESTIONS,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE,PARTIALLY AGREE
EST0041,Colegio_2,Male,14,YES,2,DID NOT REPEAT,DID NOT REPEAT,DON'T KNOW,DON'T KNOW,45,SOMETIMES,FREQUENTLY,MOBILE PHONE,PARTIALLY AGREE,DISAGREE,DISAGREE,PARTIALLY AGREE,AGREE,AGREE,PARTIALLY AGREE,PARTIALLY AGREE,PARTIALLY AGREE,AGREE,AGREE,PARTIALLY AGREE,MOST QUESTIONS,ALL QUESTIONS,MOST QUESTIONS,MOST QUESTIONS,MOST QUESTIONS,MOST QUESTIONS,ALL QUESTIONS,MOST QUESTIONS,AGREE,PARTIALLY AGREE,PARTIALLY AGREE,PARTIALLY AGREE,DISAGREE,AGREE,AGREE,AGREE
EST0037,Colegio_2,Male,13,YES,1,DID NOT REPEAT,FIRST,DON'T KNOW,DON'T KNOW,45,FREQUENTLY,FREQUENTLY,MOBILE PHONE,AGREE,PARTIALLY AGREE,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE,DISAGREE,DISAGREE,AGREE,AGREE,VERY FEW QUESTIONS,MOST QUESTIONS,VERY FEW QUESTIONS,VERY FEW QUESTIONS,MOST QUESTIONS,VERY FEW QUESTIONS,VERY FEW QUESTIONS,MOST QUESTIONS,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE,DISAGREE,PARTIALLY AGREE
EST0053,Colegio_2,Male,15,YES,1,DID NOT REPEAT,DID NOT REPEAT,INCOMPLETE SECONDARY,UNIVERSITY EDUCATION,4,FREQUENTLY,-888,MOBILE PHONE,AGREE,PARTIALLY AGREE,PARTIALLY AGREE,AGREE,AGREE,AGREE,PARTIALLY AGREE,AGREE,DISAGREE,PARTIALLY AGREE,AGREE,AGREE,MOST QUESTIONS,MOST QUESTIONS,NO QUESTIONS,ALL QUESTIONS,MOST QUESTIONS,VERY FEW QUESTIONS,MOST QUESTIONS,VERY FEW QUESTIONS,AGREE,AGREE,AGREE,AGREE,PARTIALLY AGREE,AGREE,DISAGREE,AGREE
EST0045,Colegio_2,Male,15,YES,1,FIRST,DID NOT REPEAT,DON'T KNOW,COMPLETE SECONDARY,14567,SOMETIMES,SOMETIMES,MOBILE PHONE,PARTIALLY AGREE,PARTIALLY AGREE,AGREE,AGREE,AGREE,PARTIALLY AGREE,PARTIALLY AGREE,AGREE,PARTIALLY AGREE,DISAGREE,AGREE,AGREE,MOST QUESTIONS,VERY FEW QUESTIONS,NO QUESTIONS,ALL QUESTIONS,VERY FEW QUESTIONS,MOST QUESTIONS,MOST QUESTIONS,VERY FEW QUESTIONS,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE,PARTIALLY AGREE
EST0052,Colegio_2,Male,15,YES,2,FIFTH,DID NOT REPEAT,COMPLETE SECONDARY,COMPLETE SECONDARY,145,SOMETIMES,NEVER,MOBILE PHONE,DISAGREE,AGREE,AGREE,PARTIALLY AGREE,AGREE,AGREE,AGREE,PARTIALLY AGREE,PARTIALLY AGREE,AGREE,AGREE,AGREE,ALL QUESTIONS,ALL QUESTIONS,NO QUESTIONS,ALL QUESTIONS,NO QUESTIONS,ALL QUESTIONS,ALL QUESTIONS,NO QUESTIONS,AGREE,PARTIALLY AGREE,PARTIALLY AGREE,AGREE,AGREE,AGREE,PARTIALLY AGREE,PARTIALLY AGREE
EST0051,Colegio_2,Male,15,YES,1,DID NOT REPEAT,SECOND,COMPLETE SECONDARY,COMPLETE SECONDARY,57,-888,SOMETIMES,TABLET,AGREE,AGREE,PARTIALLY AGREE,DISAGREE,AGREE,AGREE,PARTIALLY AGREE,AGREE,PARTIALLY AGREE,AGREE,AGREE,AGREE,VERY FEW QUESTIONS,NO QUESTIONS,MOST QUESTIONS,MOST QUESTIONS,MOST QUESTIONS,MOST QUESTIONS,VERY FEW QUESTIONS,VERY FEW QUESTIONS,AGREE,AGREE,AGREE,PARTIALLY AGREE,PARTIALLY AGREE,AGREE,AGREE,AGREE
EST0049,Colegio_2,Male,15,NO,1,FIFTH,DID NOT REPEAT,UNIVERSITY EDUCATION,COMPLETE SECONDARY,45,FREQUENTLY,FREQUENTLY,MOBILE PHONE,PARTIALLY AGREE,AGREE,AGREE,DISAGREE,AGREE,AGREE,AGREE,DISAGREE,DISAGREE,DISAGREE,AGREE,AGREE,MOST QUESTIONS,MOST QUESTIONS,NO QUESTIONS,VERY FEW QUESTIONS,VERY FEW QUESTIONS,VERY FEW QUESTIONS,MOST QUESTIONS,NO QUESTIONS,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE,DISAGREE,PARTIALLY AGREE
EST0048,Colegio_2,Male,14,YES,1,DID NOT REPEAT,DID NOT REPEAT,COMPLETE SECONDARY,COMPLETE SECONDARY,145,FREQUENTLY,FREQUENTLY,MOBILE PHONE,PARTIALLY AGREE,AGREE,AGREE,PARTIALLY AGREE,PARTIALLY AGREE,PARTIALLY AGREE,PARTIALLY AGREE,AGREE,AGREE,PARTIALLY AGREE,AGREE,AGREE,NO QUESTIONS,ALL QUESTIONS,ALL QUESTIONS,MOST QUESTIONS,VERY FEW QUESTIONS,ALL QUESTIONS,ALL QUESTIONS,ALL QUESTIONS,AGREE,AGREE,AGREE,AGREE,PARTIALLY AGREE,PARTIALLY AGREE,AGREE,AGREE
EST0050,Colegio_2,Male,14,YES,1,DID NOT REPEAT,SECOND,COMPLETE SECONDARY,COMPLETE SECONDARY,145,FREQUENTLY,FREQUENTLY,MOBILE PHONE,PARTIALLY AGREE,AGREE,AGREE,PARTIALLY AGREE,PARTIALLY AGREE,PARTIALLY AGREE,PARTIALLY AGREE,AGREE,AGREE,PARTIALLY AGREE,AGREE,AGREE,NO QUESTIONS,ALL QUESTIONS,ALL QUESTIONS,MOST QUESTIONS,VERY FEW QUESTIONS,ALL QUESTIONS,ALL QUESTIONS,ALL QUESTIONS,AGREE,AGREE,AGREE,AGREE,PARTIALLY AGREE,PARTIALLY AGREE,AGREE,AGREE
EST0036,Colegio_2,Male,13,YES,1,SIXTH,DID NOT REPEAT,DON'T KNOW,DON'T KNOW,47,SOMETIMES,-888,MOBILE PHONE,PARTIALLY AGREE,PARTIALLY AGREE,AGREE,PARTIALLY AGREE,AGREE,AGREE,AGREE,DISAGREE,AGREE,AGREE,PARTIALLY AGREE,AGREE,NO QUESTIONS,VERY FEW QUESTIONS,MOST QUESTIONS,MOST QUESTIONS,VERY FEW QUESTIONS,MOST QUESTIONS,VERY FEW QUESTIONS,VERY FEW QUESTIONS,AGREE,DISAGREE,PARTIALLY AGREE,AGREE,PARTIALLY AGREE,AGREE,AGREE,PARTIALLY AGREE
EST0038,Colegio_2,Female,11,DON'T KNOW,1,DID NOT REPEAT,DID NOT REPEAT,COMPLETE PRIMARY,COMPLETE PRIMARY,12356,-888,FREQUENTLY,TABLET,AGREE,PARTIALLY AGREE,PARTIALLY AGREE,AGREE,PARTIALLY AGREE,PARTIALLY AGREE,PARTIALLY AGREE,AGREE,PARTIALLY AGREE,AGREE,AGREE,AGREE,VERY FEW QUESTIONS,VERY FEW QUESTIONS,MOST QUESTIONS,MOST QUESTIONS,VERY FEW QUESTIONS,VERY FEW QUESTIONS,VERY FEW QUESTIONS,VERY FEW QUESTIONS,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE,PARTIALLY AGREE,AGREE
EST0046,Colegio_2,Female,14,YES,1,DID NOT REPEAT,DID NOT REPEAT,COMPLETE SECONDARY,INCOMPLETE SECONDARY,246,FREQUENTLY,-888,MOBILE PHONE,PARTIALLY AGREE,AGREE,AGREE,AGREE,PARTIALLY AGREE,AGREE,AGREE,AGREE,PARTIALLY AGREE,DISAGREE,AGREE,AGREE,VERY FEW QUESTIONS,VERY FEW QUESTIONS,MOST QUESTIONS,MOST QUESTIONS,MOST QUESTIONS,VERY FEW QUESTIONS,VERY FEW QUESTIONS,VERY FEW QUESTIONS,AGREE,AGREE,AGREE,AGREE,PARTIALLY AGREE,AGREE,AGREE,PARTIALLY AGREE
EST0042,Colegio_2,Male,13,DON'T KNOW,1,DID NOT REPEAT,DID NOT REPEAT,TECHNICAL HIGHER EDUCATION,INCOMPLETE SECONDARY,245,FREQUENTLY,FREQUENTLY,MOBILE PHONE,AGREE,PARTIALLY AGREE,PARTIALLY AGREE,AGREE,PARTIALLY AGREE,AGREE,AGREE,PARTIALLY AGREE,AGREE,AGREE,AGREE,AGREE,ALL QUESTIONS,MOST QUESTIONS,MOST QUESTIONS,MOST QUESTIONS,NO QUESTIONS,MOST QUESTIONS,MOST QUESTIONS,VERY FEW QUESTIONS,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE,DISAGREE,PARTIALLY AGREE
EST0044,Colegio_2,Male,13,NO,1,DID NOT REPEAT,DID NOT REPEAT,TECHNICAL HIGHER EDUCATION,COMPLETE SECONDARY,57,-888,FREQUENTLY,MOBILE PHONE,PARTIALLY AGREE,PARTIALLY AGREE,PARTIALLY AGREE,AGREE,AGREE,PARTIALLY AGREE,AGREE,PARTIALLY AGREE,DISAGREE,PARTIALLY AGREE,AGREE,AGREE,VERY FEW QUESTIONS,MOST QUESTIONS,VERY FEW QUESTIONS,MOST QUESTIONS,NO QUESTIONS,MOST QUESTIONS,VERY FEW QUESTIONS,ALL QUESTIONS,PARTIALLY AGREE,AGREE,AGREE,PARTIALLY AGREE,PARTIALLY AGREE,AGREE,AGREE,PARTIALLY AGREE
EST0040,Colegio_2,Male,14,YES,5,SECOND,DID NOT REPEAT,INCOMPLETE SECONDARY,COMPLETE SECONDARY,146,SOMETIMES,-888,MOBILE PHONE,DISAGREE,AGREE,AGREE,PARTIALLY AGREE,AGREE,AGREE,AGREE,AGREE,AGREE,PARTIALLY AGREE,PARTIALLY AGREE,AGREE,MOST QUESTIONS,ALL QUESTIONS,NO QUESTIONS,NO QUESTIONS,VERY FEW QUESTIONS,VERY FEW QUESTIONS,MOST QUESTIONS,NO QUESTIONS,DISAGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,PARTIALLY AGREE
EST0047,Colegio_2,Female,14,YES,1,DID NOT REPEAT,DID NOT REPEAT,DON'T KNOW,DON'T KNOW,5,-888,SOMETIMES,MOBILE PHONE,PARTIALLY AGREE,PARTIALLY AGREE,DISAGREE,AGREE,AGREE,DISAGREE,DISAGREE,AGREE,PARTIALLY AGREE,DISAGREE,AGREE,DISAGREE,MOST QUESTIONS,MOST QUESTIONS,MOST QUESTIONS,MOST QUESTIONS,VERY FEW QUESTIONS,ALL QUESTIONS,NO QUESTIONS,ALL QUESTIONS,AGREE,AGREE,PARTIALLY AGREE,PARTIALLY AGREE,AGREE,AGREE,DISAGREE,AGREE
EST0039,Colegio_2,Male,13,YES,1,DID NOT REPEAT,DID NOT REPEAT,INCOMPLETE SECONDARY,DON'T KNOW,14567,SOMETIMES,FREQUENTLY,MOBILE PHONE,AGREE,PARTIALLY AGREE,AGREE,AGREE,AGREE,PARTIALLY AGREE,AGREE,PARTIALLY AGREE,AGREE,PARTIALLY AGREE,AGREE,AGREE,VERY FEW QUESTIONS,MOST QUESTIONS,ALL QUESTIONS,MOST QUESTIONS,ALL QUESTIONS,VERY FEW QUESTIONS,VERY FEW QUESTIONS,MOST QUESTIONS,PARTIALLY AGREE,AGREE,PARTIALLY AGREE,DISAGREE,PARTIALLY AGREE,AGREE,PARTIALLY AGREE,DISAGREE
EST0035,Colegio_2,Male,13,YES,1,DID NOT REPEAT,FIRST,COMPLETE PRIMARY,DON'T KNOW,5,-888,FREQUENTLY,MOBILE PHONE,DISAGREE,PARTIALLY AGREE,AGREE,PARTIALLY AGREE,AGREE,AGREE,AGREE,PARTIALLY AGREE,PARTIALLY AGREE,PARTIALLY AGREE,AGREE,AGREE,ALL QUESTIONS,VERY FEW QUESTIONS,VERY FEW QUESTIONS,VERY FEW QUESTIONS,MOST QUESTIONS,VERY FEW QUESTIONS,MOST QUESTIONS,VERY FEW QUESTIONS,AGREE,AGREE,PARTIALLY AGREE,AGREE,AGREE,PARTIALLY AGREE,AGREE,AGREE
EST0004,Colegio_1,Male,15,NO,1,FOURTH,DID NOT REPEAT,DON'T KNOW,DON'T KNOW,457,FREQUENTLY,FREQUENTLY,MOBILE PHONE,AGREE,PARTIALLY AGREE,PARTIALLY AGREE,PARTIALLY AGREE,AGREE,AGREE,AGREE,PARTIALLY AGREE,DISAGREE,DISAGREE,AGREE,AGREE,MOST QUESTIONS,MOST QUESTIONS,VERY FEW QUESTIONS,VERY FEW QUESTIONS,NO QUESTIONS,NO QUESTIONS,MOST QUESTIONS,VERY FEW QUESTIONS,AGREE,AGREE,AGREE,PARTIALLY AGREE,AGREE,AGREE,PARTIALLY AGREE,PARTIALLY AGREE
